,0
1020,2581
1021,2588
1022,2589
1023,2590
1024,2591
1025,2592
1026,2593
1027,2597
1028,2599
1029,2609
1030,2613
1031,2616
1032,2617
1033,2618
1034,2621
1035,2625
1036,2628
1037,2629
1038,2633
1039,2635
1040,2637
1041,2638
1042,2645
1043,2661
1044,2662
1045,2677
1046,2678
1047,2680
1048,2683
1049,2719
1050,2720
1051,2721
1052,2722
1053,2723
1054,2724
1055,2725
1056,2726
1057,2727
1058,2728
1059,2729
1060,2730
1061,2731
1062,2732
1063,2733
1064,2734
1065,2735
1066,2736
1067,2737
1068,2738
1069,2739
1070,2740
1071,2741
1072,2742
1073,2743
1074,2744
1075,2754
1076,2755
1077,2759
1078,2774
1079,2775
1080,2783
1081,2790
1082,2814
1083,2820
1084,2821
1085,2834
1086,2838
1087,2842
1088,2843
1089,2844
1090,2845
1091,2846
1092,2847
1093,2848
1094,2849
1095,2850
1096,2851
1097,2852
1098,2853
1099,2854
1100,2855
1101,2870
1102,2871
1103,2872
1104,2873
1105,2876
1106,2877
1107,2885
1108,2886
1109,2887
1110,2888
1111,2889
1112,2890
1113,2891
1114,2892
1115,2893
1116,2894
1117,2895
1118,2896
1119,2897
1120,2898
1121,2899
1122,2901
1123,2903
1124,2905
1125,2907
1126,2908
1127,2937
1128,2939
1129,2943
1130,2948
1131,2955
1132,2956
1133,2960
1134,2961
1135,2974
1136,2975
1137,2977
1138,2978
1139,2979
1140,2980
1141,2981
1142,2982
1143,2983
1144,2984
1145,2985
1146,2986
1147,2987
1148,2988
1149,2989
1150,2991
1151,2992
1152,2993
1153,2994
1154,2996
1155,2997
1156,2998
1157,2999
1158,3000
1159,3001
1160,3002
1161,3003
1162,3004
1163,3005
1164,3006
1165,3007
1166,3008
1167,3009
1168,3013
1169,3016
1170,3017
1171,3018
1172,3019
1173,3020
1174,3021
1175,3022
1176,3023
1177,3024
1178,3025
1179,3026
1180,3027
1181,3028
1182,3029
1183,3030
1184,3031
1185,3032
1186,3033
1187,3034
1188,3035
1189,3036
1190,3037
1191,3038
1192,3039
1193,3040
1194,3061
1195,3064
1196,3069
1197,3079
1198,3080
1199,3104
1200,3105
1201,3106
1202,3107
1203,3108
1204,3109
1205,3110
1206,3112
1207,3113
1208,3114
1209,3115
1210,3116
1211,3117
1212,3118
1213,3119
1214,3120
1215,3121
1216,3122
1217,3124
1218,3125
1219,3127
1220,3134
1221,3136
1222,3145
1223,3149
1224,3151
1225,3162
1226,3163
1227,3164
1228,3165
1229,3168
1230,3169
1231,3171
1232,3172
1233,3174
1234,3175
1235,3176
1236,3177
1237,3178
1238,3179
1239,3181
1240,3182
1241,3183
1242,3184
1243,3185
1244,3201
1245,3202
1246,3218
1247,3227
1248,3233
1249,3234
1250,3235
1251,3236
1252,3237
1253,3238
1254,3239
1255,3240
1256,3242
1257,3243
1258,3244
1259,3245
1260,3246
1261,3249
1262,3250
1263,3251
1264,3252
1265,3253
1266,3254
1267,3255
1268,3256
1269,3257
1270,3258
1271,3259
1272,3260
1273,3261
1274,3262
1275,3263
1276,3264
1277,3265
1278,3266
1279,3267
1280,3270
1281,3275
1282,3277
1283,3278
1284,3279
1285,3280
1286,3281
1287,3282
1288,3283
1289,3284
1290,3285
1291,3286
1292,3289
1293,3291
1294,3293
1295,3294
1296,3300
1297,3301
1298,3302
1299,3303
1300,3304
1301,3305
1302,3307
1303,3309
1304,3311
1305,3312
1306,3313
1307,3318
1308,3320
1309,3321
1310,3329
1311,3330
1312,3331
1313,3334
1314,3342
1315,3343
1316,3344
1317,3347
1318,3362
1319,3397
1320,3411
1321,3412
1322,3413
1323,3415
1324,3427
1325,3431
1326,3433
1327,3446
1328,3454
1329,3455
1330,3456
1331,3457
1332,3458
1333,3460
1334,3461
1335,3462
1336,3463
1337,3464
1338,3465
1339,3466
1340,3467
1341,3468
1342,3469
1343,3470
1344,3471
1345,3472
1346,3473
1347,3474
1348,3475
1349,3476
1350,3477
1351,3478
1352,3479
1353,3480
1354,3481
1355,3482
1356,3483
1357,3489
1358,3490
1359,3494
1360,3495
1361,3496
1362,3497
1363,3498
1364,3499
1365,3500
1366,3501
1367,3502
1368,3503
1369,3504
1370,3505
1371,3506
1372,3507
1373,3508
1374,3509
1375,3510
1376,3511
1377,3512
1378,3513
1379,3514
1380,3515
1381,3516
1382,3517
1383,3518
1384,3519
1385,3520
1386,3521
1387,3522
1388,3523
1389,3524
1390,3525
1391,3527
1392,3530
1393,3531
1394,3533
1395,3544
1396,3549
1397,3550
1398,3555
1399,3558
1400,3559
1401,3560
1402,3561
1403,3564
1404,3565
1405,3566
1406,3568
1407,3569
1408,3570
1409,3572
1410,3581
1411,3582
1412,3583
1413,3584
1414,3585
1415,3586
1416,3587
1417,3588
1418,3589
1419,3590
1420,3591
1421,3592
1422,3593
1423,3594
1424,3595
1425,3596
1426,3597
1427,3598
1428,3599
1429,3600
1430,3601
1431,3602
1432,3603
1433,3604
1434,3605
1435,3606
1436,3607
1437,3608
1438,3609
1439,3610
1440,3611
1441,3612
1442,3613
1443,3614
1444,3615
1445,3616
1446,3617
1447,3633
1448,3634
1449,3635
1450,3636
1451,3637
1452,3638
1453,3639
1454,3640
1455,3641
1456,3642
1457,3643
1458,3644
1459,3645
1460,3646
1461,3647
1462,3648
1463,3651
1464,3657
1465,3665
1466,3666
1467,3667
1468,3668
1469,3669
1470,3671
1471,3672
1472,3680
1473,3681
1474,3694
1475,3695
1476,3696
1477,3697
1478,3698
1479,3699
1480,3700
1481,3703
1482,3705
1483,3708
1484,3709
1485,3710
1486,3711
1487,3712
1488,3713
1489,3715
1490,3716
1491,3717
1492,3718
1493,3719
1494,3726
1495,3730
1496,3731
1497,3733
1498,3734
1499,3735
1500,3736
1501,3737
1502,3738
1503,3739
1504,3740
1505,3741
1506,3742
1507,3743
1508,3744
1509,3745
1510,3746
1511,3747
1512,3748
1513,3749
1514,3752
1515,3767
1516,3809
1517,3810
1518,3811
1519,3812
1520,3813
1521,3814
1522,3815
1523,3816
1524,3817
1525,3818
1526,3819
1527,3820
1528,3821
1529,3822
1530,3823
1531,3824
1532,3825
1533,3842
1534,3849
1535,3851
1536,3857
1537,3860
1538,3861
1539,3862
1540,3863
1541,3864
1542,3867
1543,3870
1544,3871
1545,3872
1546,3873
1547,3874
1548,3875
1549,3876
1550,3877
1551,3878
1552,3879
1553,3880
1554,3881
1555,3882
1556,3883
1557,3884
1558,3885
1559,3886
1560,3887
1561,3888
1562,3889
1563,3890
1564,3891
1565,3892
1566,3893
1567,3894
1568,3895
1569,3897
1570,3902
1571,3903
1572,3905
1573,3938
1574,3940
1575,3942
1576,3943
1577,3944
1578,3946
1579,3947
1580,3948
1581,3962
1582,3963
1583,3964
1584,3965
1585,3966
1586,3967
1587,3968
1588,3969
1589,3970
1590,3971
1591,3972
1592,3973
1593,3974
1594,3975
1595,3976
1596,3977
1597,3978
1598,3979
1599,3980
1600,3981
1601,3982
1602,3987
1603,3998
1604,4002
1605,4028
1606,4031
1607,4040
1608,4041
1609,4042
1610,4043
1611,4044
1612,4046
1613,4051
1614,4052
1615,4053
1616,4054
1617,4055
1618,4060
1619,4061
1620,4062
1621,4063
1622,4064
1623,4065
1624,4066
1625,4067
1626,4068
1627,4069
1628,4075
1629,4076
1630,4077
1631,4078
1632,4079
1633,4080
1634,4081
1635,4082
1636,4083
1637,4084
1638,4089
1639,4112
1640,4129
1641,4130
1642,4131
1643,4155
1644,4156
1645,4157
1646,4158
1647,4159
1648,4160
1649,4162
1650,4163
1651,4164
1652,4165
1653,4166
1654,4168
1655,4169
1656,4173
1657,4175
1658,4176
1659,4179
1660,4182
1661,4183
1662,4185
1663,4189
1664,4190
1665,4192
1666,4201
1667,4202
1668,4203
1669,4206
1670,4208
1671,4210
1672,4215
1673,4218
1674,4221
1675,4228
1676,4234
1677,4236
1678,4245
1679,4253
1680,4258
1681,4260
1682,4261
1683,4262
1684,4263
1685,4264
1686,4266
1687,4267
1688,4268
1689,4278
1690,4279
1691,4280
1692,4281
1693,4282
1694,4283
1695,4284
1696,4285
1697,4286
1698,4287
1699,4288
1700,4289
1701,4290
1702,4291
1703,4292
1704,4293
1705,4294
1706,4295
1707,4312
1708,4317
1709,4320
1710,4321
1711,4322
1712,4323
1713,4326
1714,4327
1715,4334
1716,4336
1717,4337
1718,4338
1719,4339
1720,4340
1721,4341
1722,4342
1723,4343
1724,4344
1725,4345
1726,4346
1727,4347
1728,4348
1729,4349
1730,4350
1731,4351
1732,4352
1733,4353
1734,4356
1735,4357
1736,4358
1737,4359
1738,4360
1739,4361
1740,4362
1741,4363
1742,4366
1743,4367
1744,4368
1745,4369
1746,4370
1747,4371
1748,4372
1749,4374
1750,4375
1751,4376
1752,4377
1753,4379
1754,4382
1755,4383
1756,4385
1757,4387
1758,4389
1759,4390
1760,4395
1761,4396
1762,4397
1763,4398
1764,4399
1765,4400
1766,4401
1767,4402
1768,4403
1769,4404
1770,4405
1771,4406
1772,4407
1773,4408
1774,4409
1775,4410
1776,4411
1777,4412
1778,4413
1779,4414
1780,4415
1781,4426
1782,4427
1783,4428
1784,4429
1785,4430
1786,4431
1787,4432
1788,4433
1789,4434
1790,4435
1791,4436
1792,4438
1793,4440
1794,4444
1795,4448
1796,4449
1797,4450
1798,4451
1799,4452
1800,4453
1801,4454
1802,4455
1803,4456
1804,4457
1805,4458
1806,4459
1807,4460
1808,4461
1809,4462
1810,4463
1811,4465
1812,4466
1813,4467
1814,4468
1815,4469
1816,4470
1817,4471
1818,4472
1819,4473
1820,4474
1821,4475
1822,4476
1823,4477
1824,4478
1825,4479
1826,4480
1827,4482
1828,4483
1829,4490
1830,4491
1831,4502
1832,4503
1833,4504
1834,4505
1835,4507
1836,4509
1837,4510
1838,4512
1839,4514
1840,4515
1841,4516
1842,4545
1843,4565
1844,4571
1845,4588
1846,4600
1847,4616
1848,4617
1849,4620
1850,4621
1851,4624
1852,4625
1853,4628
1854,4630
1855,4632
1856,4634
1857,4635
1858,4638
1859,4639
1860,4642
1861,4643
1862,4644
1863,4645
1864,4646
1865,4647
1866,4648
1867,4649
1868,4650
1869,4654
1870,4656
1871,4658
1872,4666
1873,4667
1874,4668
1875,4669
1876,4670
1877,4671
1878,4672
1879,4673
1880,4674
1881,4675
1882,4676
1883,4677
1884,4678
1885,4679
1886,4680
1887,4681
1888,4682
1889,4683
1890,4684
1891,4685
1892,4686
1893,4687
1894,4690
1895,4693
1896,4694
1897,4698
1898,4704
1899,4705
1900,4706
1901,4707
1902,4709
1903,4710
1904,4711
1905,4712
1906,4713
1907,4714
1908,4715
1909,4716
1910,4718
1911,4719
1912,4720
1913,4721
1914,4733
1915,4734
1916,4735
1917,4736
1918,4737
1919,4738
1920,4739
1921,4740
1922,4741
1923,4742
1924,4743
1925,4744
1926,4745
1927,4746
1928,4747
1929,4751
1930,4753
1931,4756
1932,4759
1933,4760
1934,4762
1935,4763
1936,4764
1937,4765
1938,4767
1939,4768
1940,4769
1941,4773
1942,4774
1943,4775
1944,4776
1945,4777
1946,4778
1947,4785
1948,4794
1949,4796
1950,4802
1951,4803
1952,4813
1953,4814
1954,4815
1955,4817
1956,4818
1957,4819
1958,4820
1959,4821
1960,4822
1961,4828
1962,4854
1963,4855
1964,4856
1965,4857
1966,4861
1967,4862
1968,4865
1969,4867
1970,4869
1971,4872
1972,4873
1973,4878
1974,4887
1975,4896
1976,4897
1977,4898
1978,4901
1979,4902
1980,4903
1981,4904
1982,4905
1983,4906
1984,4907
1985,4908
1986,4909
1987,4910
1988,4911
1989,4912
1990,4913
1991,4914
1992,4915
1993,4916
1994,4917
1995,4918
1996,4919
1997,4935
1998,4936
1999,4939
2000,4940
2001,4941
2002,4946
2003,4947
2004,4948
2005,4949
2006,4950
2007,4951
2008,4952
2009,4953
2010,4954
2011,4955
2012,4956
2013,4957
2014,4958
2015,4959
2016,4960
2017,4961
2018,4962
2019,4963
2020,4964
2021,4965
2022,4966
2023,4967
2024,4968
2025,4969
2026,4970
2027,4971
2028,4972
2029,5003
2030,5004
2031,5023
2032,5024
2033,5026
2034,5027
2035,5039
2036,5040
2037,5041
2038,5042
2039,5043
2040,5044
2041,5045
2042,5046
2043,5047
2044,5048
2045,5049
2046,5050
2047,5051
2048,5052
2049,5053
2050,5054
2051,5055
2052,5056
2053,5057
2054,5058
2055,5066
2056,5067
2057,5069
2058,5070
2059,5071
2060,5072
2061,5073
2062,5074
2063,5075
2064,5076
2065,5078
2066,5082
2067,5083
2068,5084
2069,5085
2070,5086
2071,5087
2072,5088
2073,5089
2074,5090
2075,5091
2076,5092
2077,5094
2078,5095
2079,5098
2080,5100
2081,5104
2082,5107
2083,5108
2084,5117
2085,5124
2086,5126
2087,5133
2088,5135
2089,5137
2090,5139
2091,5140
2092,5141
2093,5142
2094,5143
2095,5144
2096,5145
2097,5146
2098,5147
2099,5148
2100,5149
2101,5150
2102,5151
2103,5171
2104,5172
2105,5173
2106,5176
2107,5182
2108,5183
2109,5185
2110,5187
2111,5188
2112,5189
2113,5198
2114,5199
2115,5200
2116,5202
2117,5211
2118,5214
2119,5217
2120,5218
2121,5219
2122,5220
2123,5222
2124,5228
2125,5233
2126,5234
2127,5235
2128,5236
2129,5237
2130,5240
2131,5246
2132,5247
2133,5249
2134,5261
2135,5262
2136,5264
2137,5267
2138,5268
2139,5269
2140,5271
2141,5272
2142,5275
2143,5276
2144,5277
2145,5278
2146,5279
2147,5281
2148,5282
2149,5283
2150,5286
2151,5287
2152,5288
2153,5309
2154,5310
2155,5311
2156,5312
2157,5313
2158,5314
2159,5315
2160,5316
2161,5317
2162,5318
2163,5319
2164,5320
2165,5321
2166,5322
2167,5324
2168,5326
2169,5327
2170,5329
2171,5330
2172,5331
2173,5332
2174,5334
2175,5336
2176,5337
